1,John Dingell,D,MI-15,12/13/1955,
2,John Conyers,D,MI-14,1/3/1965,
3,Dave Obey,D,WI-7,4/1/1969,
4,Charles B. Rangel,D,NY-15,1/3/1971,
4,Bill Young,R,FL-10,,
6,Ralph Regula,R,OH-16,1/3/1973,
6,Pete Stark,D,CA-13,,
8,Don Young,R,AK,3/6/1973,
9,John Murtha,D,PA-12,2/5/1974,
10,Henry Hyde,R,IL-06,1/3/1975,Left the House in 2007.
10,George Miller,D,CA-07,,
10,James Oberstar,D,MN-8,,
10,Henry Waxman,D,CA-30,,
14,Ed Markey,D,MA-07,11/2/1976,
15,Norm Dicks,D,WA-6,1/4/1977,
15,Dale Kildee,D,MI-05,,
15,Jim Leach,R,IA-2,,Left the House in 2007.
15,Nick Rahall,D,WV-3,,
15,Ike Skelton,D,MO-4,,
20,Jerry Lewis,R,CA-41,1/3/1979,
20,Bob Matsui,D,CA-05,,Died.
20,Martin Olav Sabo,D,MN-5,,Left the House in 2007.
20,James Sensenbrenner,R,WI-5,,
20,Bill Thomas,R,CA-22,,Left the House in 2007.
25,Tom Petri,R,WI-6,4/3/1979,
26,David Dreier,R,CA-26,1/3/1981,
26,Barney Frank,D,MA-04,,
26,Ralph Hall,R,TX-04,,
26,Duncan Hunter,R,CA-52,,
26,Tom Lantos,D,CA-12,,
26,Hal Rogers,R,KY-5,,
26,"E. Clay Shaw, Jr.",R,FL-22,,Left the House in 2007.
26,Christopher Smith,R,NJ-04,,
26,Frank Wolf,R,VA-10,,
35,Steny Hoyer,D,MD-5,5/19/1981,
36,Mike Oxley,R,OH-04,6/25/1981,Left the House in 2007.
37,Howard Berman,D,CA-28,1/3/1983,
37,Michael Bilirakis,R,FL-09,,Left the House in 2007.
37,Sherwood Boehlert,R,NY-24,,Left the House in 2007.
37,Rick Boucher,D,VA-09,,
37,Dan Burton,R,IN-5,,
37,Lane Evans,D,IL-17,,Left the House in 2007.
37,Nancy Johnson,R,CT-5,,Left the House in 2007.
37,Marcy Kaptur,D,OH-09,,
37,Sander Levin,D,MI-12,,
37,Alan Mollohan,D,WV-1,,
37,Solomon Ortiz,D,TX-27,,
37,Major Owens,D,NY-11,,Left the House in 2007.
37,John Spratt,D,SC-5,,
37,Ed Towns,D,NY-10,,
51,Gary Ackerman,D,NY-05,3/1/1983,
52,Jim Saxton,R,NJ-03,11/6/1984,
53,Joe Barton,R,TX-06,1/3/1985,
53,Howard Coble,R,NC-06,,
53,Tom DeLay,R,TX-22,,Stepped down.
53,Bart Gordon,D,TN-6,,
53,Paul Kanjorski,D,PA-11,,
53,Jim Kolbe,R,AZ-8,,Left the House in 2007.
53,Peter Visclosky,D,IN-1,,
60,Richard Baker,R,LA-6,1/3/1987,
60,Ben Cardin,D,MD-3,,Left the House in 2007.
60,Peter DeFazio,D,OR-4,,
60,Elton Gallegly,R,CA-24,,
60,Dennis Hastert,R,IL-14,,
60,Joel Hefley,R,CO-5,,Left the House in 2007.
60,Wally Herger,R,CA-02,,
60,John Lewis,D,GA-05,,
60,Louise Slaughter,D,NY-28,,
60,Lamar Smith,R,TX-21,,
60,Fred Upton,R,MI-06,,
60,Curt Weldon,R,PA-07,,Left the House in 2007.
72,Nancy Pelosi,D,CA-08,6/2/1987,
73,Christopher Shays,R,CT-4,8/18/1987,
74,Jim McCrery,R,LA-4,4/16/1988,
75,Jerry Costello,D,IL-12,8/9/1988,
76,John Duncan,R,TN-2,11/8/1988,
76,Frank Pallone,D,NJ-06,,
78,Christopher Cox,R,CA-48,1/3/1989,Stepped down.
78,Eliot Engel,D,NY-17,,
78,Paul Gillmor,R,OH-05,,
